query,user,date,content,replies,retweets,likes
Hindutva danger,/divya1306,2025-06-15T12:31:46.000Z,"Divya Singh @divya1306 · Jun 15 Replying to @rohini_sgh No one stands up. Why? Parents taught that caste is imp, others told ' Hindutva is in danger .' People like drama—outrage over Sushant’s death, yet they still watch Dharma and YRF. Wrestlers face sexual abuse, but no cricketer speaks up. The silence is shameful. #wakefromthedark 19",19,19,19
Hindutva danger,/Krishna_1008_,2025-06-13T03:37:46.000Z,"Krishna @Krishna_1008_ · Jun 13 Jaishankar's wife embraced Hinduism, but your daughter left Hinduism entirely. Does that align with your idea of Hindutva ? You once said that if Muslims exceed 30%, the country is in danger —do you consider your own daughter’s future a threat now? #planecrash #AhmedabadPlaneCrash Quote Subramanian Swamy @Swamy39 · Jun 2 Sack Jaishankar. How can Modi govt have in its Ministry a Bharatiya External Affairs Minister who has a Videshi (Japanese) wife living in USA? Is this BJP’s concept of Hindutva? No wonder foreign nations such as Canada snub India. x.com/SurrbhiM/statu… 1 3 7 514",1,1,1
Hindutva danger,/ComradeBlk,2025-06-12T20:56:34.000Z,Mukundan @ComradeBlk · Jun 13 Replying to @SagasofBharat They also started to realise the danger of Hindutva terror... 9,9,9,9
Hindutva danger,/Danger__Mani,2025-06-12T08:31:00.000Z,Boss Tanya Ka Bodyguard @Danger__Mani · Jun 12 Replying to @Yoginprakash1 @Badly_Aro and 2 others Hindutva means accepting indigenous cult madrassi pille 3,3,3,3
Hindutva danger,/Yallaa,2025-06-11T23:56:25.000Z,"Adam J. @Yallaa · Jun 12 Replying to @NickJFuentes Zionism and the extremist Hindutva ideology constitute the most mortal danger to any country to crawl into, and since Modi came to power he formed a blood alliance with Netanyahu & int'l Zionism that is parasitically ruining all countries these parasitic ideologies infect. 12",12,12,12
Hindutva danger,/Mel68475706,2025-06-11T03:10:25.000Z,"COIN @Mel68475706 · Jun 11 Replying to @moderatepahadi @SGPCAmritsar_ and @CityNewsTO Hindutva Indian nationalist kill and massacre Christian’s also 

Every Canadian needs to look at what hindutva extremism and supremacy is and why Sikhs and Christian’s are in danger See @FriedrichPieter for more about hindutva in Canada and U.S. https:// x.com/CrossEagleAlta /CrossEagleAltar/status/1932487579070267478 … This post is unavailable. 3 42",3,3,3
Hindutva danger,/SahilRa76418770,2025-06-10T19:31:46.000Z,"Sahil Rawat @SahilRa76418770 · Jun 11 As much as the Hindu is in danger from Hindutva , dehati, chapri, reel andhbhakt, and wokes , he is not in as much danger from Muslims. Quote Indra @itsme_ijk · Jun 10 Insta is filled with Hina Khan and Rocky Jaiswal edits like this 1 95",1,1,1
Hindutva danger,/Ellarakannada,2025-06-09T03:46:07.000Z,"Ethnic Kannadiga @Ellarakannada · Jun 9 No Hindu Sanyasi speaks against Hindi imposition.

Because, the moment a Hindu Sanyasi speaks against Hindi imposition, the Sanghi ecosystem of India will blacklist him.

Hinduism is under grave danger due to Hindutva of Sanghi ecosystem. #Hindutva #Hindu #StopHindiImposition 12 16 79 1.7K",12,12,12
Hindutva danger,/lgndofsummer,2025-06-06T14:56:25.000Z,"6:0 @lgndofsummer · Jun 6 Replying to @PoornimaNimo Because one knew she would be celebrated and protected by right wing hindutva thugs. 

While the other knows his life is in danger 13",13,13,13
Hindutva danger,/sampitkena,2025-06-06T03:37:44.000Z,"sampitkena @sampitkena · Jun 6 Replying to @9mmScorpion and @LucasGageX If muslims become more than 30%, that country is in danger said a hindutva extremist in dealing with rohingyas and migrants from bangladesh. the real danger lies in Hindus growing bigger in the west. youtube.com India Burning (Clip) | VICE on SHOWTIME India has been engulfed in riots after the world's biggest democracy suddenly stripped nearly two million people of their citizenship. As the nation's leader... 1 99",1,1,1
Hindutva danger,/Putnanja_,2025-06-05T19:48:18.000Z,"Putnanja @Putnanja_ · Jun 6 Replying to @Carlgrimes45386 @swamy4897 and 2 others Kannadigrunna yake k0ley madidru h indutvadavru , avnu nam kannadiga , hindutva davru danger Quote Putnanja @Putnanja_ · May 21 Replying to @Warlock_Shubh Hindutva t3rr0rists have k1lled many people like Gandhi , Gouri lankesh, kalburgi, pansare, dabolkar, justice loya, stop your bitti advice please 1 1 66",1,1,1
Hindutva danger,/TalatHusain12,2025-06-05T04:50:57.000Z,"Syed Talat Hussain/fans @TalatHusain12 · Jun 5 Efforts to minimize Bilawal Bhutto’s strong opposition to PM Modi’s policies influenced by Hindutva , particularly the repression of Muslims in IIOJK, will not prevail. Pakistan’s military stands not as an occupier but as a steadfast protector, safeguarding the country from danger Quote Mehlaqa Samdani @MehlaqaCAPJ · Jun 5 Replying to @fkkundi and @BBhuttoZardari Now that he's boldly challenged India, let's encourage him to show the same courage against his military bosses and their brutal occupation of Pakistan 42",42,42,42
Hindutva danger,/Syed_F2005,2025-06-04T13:53:36.000Z,SYED-AL-HIND @Syed_F2005 · Jun 4 Replying to @Haresh1410 I want to marry israel woman saar.. bob and vagene saar.. israel woman bold and beautiful saar.. hindutva and jews under danger saaar… we live in dharavi slum saar but our heart in tel aviv saar Quote Goymaster @zibarma28157 · Apr 23 Bold and beautiful Israeli women saar #israel #India #women #israelwomen #IsraelTerroristState #jews #BoldandBeautiful #pajeetmemes 1 58,1,1,1
Hindutva danger,/ArshadM7309364,2025-06-04T10:26:34.000Z,لونڈی عدالتیں @ArshadM7309364 · Jun 4 Replying to @ashoswai Hindutva ideology is not only for the whole region but in India there is danger for the peace of minorities and neighboring countries. 1,1,1,1
Hindutva danger,/uoiea3uoia,2025-06-04T04:10:45.000Z,من مستم @uoiea3uoia · Jun 4 Replying to @TimesAlgebraIND No problem we will upload and tag BJP leaders Indian minorities are in serious danger #H indutva_terrorism 14,14,14,14
Hindutva danger,/Wasifvibes,2025-06-04T00:53:29.000Z,"Ibnul Wasif Nirob @Wasifvibes · Jun 4 Neither Pakistan nor China is a threat to India — it is Modi himself who poses the real danger . With his hardline Hindutva ideology, Modi is filling Bharat Mata with venom. #Modi #AmitShah #RajnathSingh #India 1 37",1,1,1
Hindutva danger,/BeingNaqeeb,2025-06-03T15:47:54.000Z,"Naqeeb @BeingNaqeeb · Jun 3 Replying to @thenidhii With 80% of India being Hindu and Hinduism is in danger in India, I’d say Hinduism is rather insecure or atleast the Hindutva clan is insecure! 1 40",1,1,1
Hindutva danger,/BeingNaqeeb,2025-06-03T15:47:33.000Z,"Naqeeb @BeingNaqeeb · Jun 3 Replying to @poonamkachanddd With 80% of India being Hindu and Hinduism is in danger in India, I would disagree. 

I’d say religion of sanghis is rather insecure or atleast the Hindutva clan is insecure! 107",107,107,107
Hindutva danger,/Sher1389361Sher,2025-06-03T11:18:38.000Z,Sherdil @Sher1389361Sher · Jun 3 Replying to @NavCom24 Hindutva India is danger not onlybto region but to whole world 15,15,15,15
Hindutva danger,/TheRealHindust2,2025-06-02T03:09:26.000Z,"The Real Hindustani @TheRealHindust2 · Jun 2 Replying to @farmingandJesus What actually irks me is Islam and Hindutva are more danger to the western civilization than the whole prots vs Catholic debate. 

But cathos, wignats and especially groypers spend all their time fighting with Prots online and consider Muslims as spiritual siblings 1 92",1,1,1
Hindutva danger,/MustBoycott,2025-06-02T00:29:32.000Z,"Boycott US, Israel, India @MustBoycott · Jun 2 So called Cow Protector Hindutva criminals putting everyone else lives in Danger on the road in India @CNN @nytimes @9NewsAUS @arynewsud Quote Sunanda Roy @SaffronSunanda · May 31 Hail to our Gau Rakshaks 0:34 30",30,30,30
Hindutva danger,/AshisMu16740784,2025-05-31T06:06:36.000Z,"Ashis Mukherjee @AshisMu16740784 · May 31 Replying to @Swamy39 Yes hindutva is in danger , because of your propaganda. 8",8,8,8
Hindutva danger,/Adi64455883,2025-05-30T21:11:22.000Z,"Adi(HKA) @Adi64455883 · May 31 Hindutva in danger LAWMAKERS AND ABSOLUTE CONSTITUTION sav-ER @Swamy39 UNCHALLENGED GAMECHANGER HERO' bjp4ind lawyer fighter IND parliament olderknow shon briefing BEST EVERSERVICE for http:// we.ty.pe Quote Shantanu @shaandelhite · May 30 Important revelation by BJP leader Subramanian Swamy —

— India lost 5 jets 

— Rafale is not upto the mark as per India’s needs

— Corruption happened in Rafale which won’t be investigated till Modi is the PM

In the past, Only Rahul Gandhi Ji raised the corruption in Rafale. 2 17",2,2,2
Hindutva danger,/xion_Xen,2025-05-30T20:00:49.000Z,"Benjamin Netanyahu @xion_Xen · May 31 Replying to @Rafael_Khan75 There was only pakistan. 
Stooges like you divided one country. But I support One Greater India under all faith rules. Hindutva terrorists are danger for the region. So are Indian stooges who always serve other nation. Now you are Bangladesh & protect its sovereignty. 2 31",2,2,2
Hindutva danger,/Rizwan57956920,2025-05-29T09:32:13.000Z,Rizwan @Rizwan57956920 · May 29 Replying to @MrSinha_ Hinduism is in danger from hindutva 2,2,2,2
Hindutva danger,/weavebrain,2025-05-29T03:57:56.000Z,Bo Schafers @weavebrain · May 29 Replying to @ashoswai Correct move. Modi’s Hindutva Nazis are currently out of control. A danger to Indians and world peace. 92,92,92,92
Hindutva danger,/scroll_in,2025-05-28T15:10:01.000Z,"Scroll.in @scroll_in · May 28 Replug | ""In how they feel, Hindus under Hindutva are in danger of becoming a majority with a minority complex, plagued by a sense of paranoia and persecution,"" notes Ramachandra Guha. https:// scroll.in/article/102149 0/ … However, in how they act, Hindus under Hindutva are in danger of Show more scroll.in Ramachandra Guha: How Hindutva will grievously hurt Hindus As Hindu majoritarianism sweeps India, cautionary tales from Sri Lanka, Pakistan and Myanmar. 1 1.2K",1,1,1
Hindutva danger,/sgul93205,2025-05-26T19:48:17.000Z,khan @sgul93205 · May 27 Replying to @ashoswai Hes prisvindende day by day whi jinnah created Pakistan… and hindutva hindus are real danger to south asia 1,1,1,1
Hindutva danger,/haqshams2,2025-05-26T14:56:03.000Z,Shams @haqshams2 · May 26 Replying to @_sayema Zi*nists and Hindutva saffron clad followers are on the same page. Both are danger to the world peace. The earlier we stop the better it serves for the continuation of human civilization. 1 35,1,1,1
Hindutva danger,/fayyazcopOne,2025-05-25T08:58:30.000Z,"FAYYAZ KHAN @fayyazcopOne · May 25 Replying to @SatlujTV Hindutva supremacists in India, the heart of global terrorism, are a danger to the world. India funds terrorism. RAW is involved in lethal operations in Canada, the USA, and Pakistan, notably targeting Pannu in the USA. 1 2 166",1,1,1
Hindutva danger,/Jamshaid_Shah_,2025-05-25T07:01:41.000Z,"Jamshaid Shah @Jamshaid_Shah_ · May 25 Replying to @iUdhoke Epicentre of global terrorism, India. Hindutva Supramists are real danger for world. 3 1 3 561",3,3,3
Hindutva danger,/PeaceOfMinds001,2025-05-25T01:15:49.000Z,"PeaceOfMind @PeaceOfMinds001 · May 25 Replying to @TARUNspeakss For Hindutva because without modi Hinduism is in "" danger "". Source - BJP IT Celll!! 6",6,6,6
Hindutva danger,/AntiSatan7,2025-05-24T08:54:27.000Z,"Lord Poppadom @AntiSatan7 · May 24 They team up with Hindutva con men who say that both AI and mass migration are required because Americans lack skills. This is a looting and assimilation scheme of Hindutva . American boomers/politicians are traitors and a clear and present danger to Christians. Quote Lord Poppadom @AntiSatan7 · May 24 Boomer imperial ""Christianity"" needs to be tossed out. It's pagan and demonic. They're so corrupt and punch down on their own. They want to create concentration camps (digital gulags) for Christians. x.com/AntiSatan7/sta… 22",22,22,22
Hindutva danger,/ashishpand29163,2025-05-24T03:02:49.000Z,"ASHISH PANDIT @ashishpand29163 · May 24 Replying to @TimesAlgebraIND If Hindus do not vote unitedly, then both Hindus and Hindutva will be in danger . Approval ratings will do nothing. Voting on social media will do nothing to promote Hindus and Hindutva .

You have to rise above free things, don't make fun of your religion and vote for India 3 35 597",3,3,3
Hindutva danger,/OrdinaryAnwaar,2025-05-23T00:43:48.000Z,"Ordinary Anwaar Science, Nature & Universe @OrdinaryAnwaar · May 23 Replying to @JuKrick Opinion: The extremist Hindutva of the RSS and its devotees are a disgrace and danger to Indians itself in comparison to the rest of the region and a real obstacle to the establishment of regional peace.. 72",72,72,72
Hindutva danger,/thesilentguy001,2025-05-22T15:43:08.000Z,The Silent Guy @thesilentguy001 · May 22 Commentary account Replying to @narendramodi Sikhism is in danger in hindutva india 3,3,3,3
Hindutva danger,/shriya1950,2025-05-22T12:18:38.000Z,Shriya @shriya1950 · May 22 Replying to @TNerve12 Are wah mere bhai tumne sahi pakda. Bhartiya woman are in danger JUST from Muslim Men. Hindutva men toe doodh ke dhule warrior hain hamare. Victim ne kaha hindu Muslim na karo par who cares about victim. Baat yeh hai ki HAM kya sochte hain. 1 65,1,1,1
Hindutva danger,/Soren_Media,2025-05-22T03:25:40.000Z,"Swathi Soren @Soren_Media · May 22 Replying to @aarunigilay Now that we know about Zionism, we also know that Hitler was their primary collaborator.

Hitler worked on their orders, they created the danger for their people who didn't want to let them exercise their power unchecked. Look at the Hindutva -wadis today 1 1 28",1,1,1
Hindutva danger,/RabihChatila,2025-05-21T23:33:16.000Z,"ربيع شاتيلا @RabihChatila · May 22 Fucking insane inhuman terrorist hindutva Indian bitch openly celebrating Zionist genocide taking place since almost 20 months against helpless defenseless 75-year-occupied Palestinian people !!! 

Filthy scum like her pose a critical danger to humanity and world peace & order - Show more Quote Sunanda Roy @SaffronSunanda · May 19 Bad news for ""All Eyes on Rafah"" gang 290",290,290,290
Hindutva danger,/ranjeet31220,2025-05-21T19:11:14.000Z,"Ranjeet Singh (नरेन्द्र मोदी का परिवार) @ranjeet31220 · May 22 Another Secularism in Danger Case Hindutva forces at work Quote BALA @erbmjha · May 21 SHOCKING - Kashmiri Muslim journo Omar Rashid @omar7rashid who works for @thewire_in trapped a Hindu girl

- Repeatedly raped her & force-fed her 'beef' 

- She was physically & mentally abused

Arrest him asap @DelhiPolice 41",41,41,41
Hindutva danger,/MeerMoaazzam,2025-05-21T10:17:38.000Z,"Meer Moaazzam @MeerMoaazzam · May 21 India and the BJP Hindutva regime has became a danger to regional and global peace, stability, and security. 6",6,6,6
Hindutva danger,/TusharC3007,2025-05-21T06:18:40.000Z,"Tushār Chāuhān @TusharC3007 · May 21 If India needs to ensure that lives of Indians living outside don't get in danger , Few accounts Indian govt needs to ban asap... Although the amount of damage they have caused to India is irreparable.. 
> Hindutva knight
> Jaipur dialogues
> Mr Sinha
> Sunanda Roy Quote Tushār Chāuhān @TusharC3007 · May 21 Can u plz just stfu...
You have already embarrassed indians all over the world.... Don't do it more...
Don't know why govt has not suspended this account yet... x.com/SaffronSunanda… 4 87",4,4,4
Hindutva danger,/FnKhan,2025-05-20T13:05:46.000Z,"Fnkhan @FnKhan · May 20 Replying to @TheBritLad Guys this account is also run by an Indian sitting in a building similar to the call centers 

Remember how annoying those cold calls used to be?

This is even worst they are trying to create hatred within our communities 

RSS hindutva are a danger to our society 1",1,1,1
Hindutva danger,/AmythLearning,2025-05-20T08:32:55.000Z,"Learning Amyth @AmythLearning · May 20 Replying to @TimesAlgebraIND Anyways they are in danger in Hindutva India, so they should go, can’t blame us on one hand and want to stay here on another 4",4,4,4
Hindutva danger,/zainab71223,2025-05-18T21:25:43.000Z,"Zainab Imran @zainab71223 · May 19 Replying to @TheBengalMuslim This is indias reality that they will never accept .
All their accusations are confessions, just like israhell. They k*ll muslims daily and say hindutva is in danger . Their whole existence is based on myths and mythical gods. Pure evil 18",18,18,18
Hindutva danger,/brass_tacks_22,2025-05-18T17:39:07.000Z,"Brass_Tacks @brass_tacks_22 · May 18 Replying to @Ultra_knig @grok and @JamunaTV Your forefather's vision! a traitor like you is a danger to the nation. You are serving Hindutva agenda in Bangladesh. 

You'll be watched from now on! 11",11,11,11
Hindutva danger,/AdvocateAura,2025-05-17T15:13:15.000Z,Advocatus @AdvocateAura · May 17 Replying to @youdebunked @X and @AshwiniVaishnaw Extremists Hindutva ideology is a clear and present danger to the world. 27,27,27,27
Hindutva danger,/Mel68475706,2025-05-17T00:45:44.000Z,COIN @Mel68475706 · May 17 Replying to @rupasubramanya Meanwhile back in India Indiana Jones warned the world about hindutva - Hindu supremacy being a danger to the world #BanRSS #HindutvaTerrorism 3 17 40 1K,3,3,3
Hindutva danger,/indigenous84,2025-05-16T17:20:45.000Z,ravan @indigenous84 · May 16 Replying to @sidhant Why Lindus are crying ????? Hindutva is danger to world peace 1,1,1,1
Hindutva danger,/OneirosSandman,2025-05-16T15:18:39.000Z,"Sandman @OneirosSandman · May 16 India is falling in a trap. #Hindutva in danger . #Muslims , #Christians armies are against #India Something big is building up. 7",7,7,7
Hindutva danger,/KhaledMukerjee,2025-05-16T10:18:31.000Z,"Cheema Khaled artist _ Communist @KhaledMukerjee · May 16 Replying to @BDUTT @abcnews and @ABCaustralia Barkha Jee .... 
You have stopped doing Objective Reporting ...

because your life is in Danger from the Hindutva Vigilante BJP Mobs? 16",16,16,16
Hindutva danger,/VinetSharma3,2025-05-15T20:24:08.000Z,Vinet Sharma @VinetSharma3 · May 16 Replying to @svaradarajan and @sarayupani @PoojaB1972 Sarayu piece getting certain India psychopath nation asattacks weak & vulnerable but same govt gets powerful if it sees its own hindutva in danger or its own ministers abused. In West Moral compass is with society but in India power making social media to harass poor,0,0,0
Hindutva danger,/VinetSharma3,2025-05-15T20:23:52.000Z,Vinet Sharma @VinetSharma3 · May 16 Replying to @svaradarajan and @sarayupani Sarayu piece getting certain India psychopath nation asattacks weak & vulnerable but same govt gets powerful if it sees its own hindutva in danger or its own ministers abused. In West Moral compass is with society but in India power making social media to harass poor,0,0,0
Hindutva danger,/VinetSharma3,2025-05-15T20:23:31.000Z,Vinet Sharma @VinetSharma3 · May 16 @PoojaB1972 Sarayu piece getting certain India psychopath nation asattacks weak & vulnerable but same govt gets powerful if it sees its own hindutva in danger or its own ministers abused. In West Moral compass is withsociety but in Indiapower making social media to harass poor,0,0,0
Hindutva danger,/VinetSharma3,2025-05-15T20:23:10.000Z,Vinet Sharma @VinetSharma3 · May 16 @PoojaB1972 Sarayu piece getting certain India psychopath nation asattacks weak & vulnerable but same govt gets powerful if it sees its own hindutva in danger or its own ministers abused. In West Moral compass is with society but in India power making social media to harass poor,0,0,0
Hindutva danger,/always_inspires,2025-05-15T14:10:01.000Z,"Always Inspire (M Irfan) @always_inspires · May 15 Replying to @AsianDigest Not just that. 
It is a deep hate and criminals mind of #Hindutva #RSS #BJP in one picture. Hindutva is a danger to humanity. 4 571",4,4,4
Hindutva danger,/SmartRandomGuy,2025-05-15T04:50:34.000Z,Darth Vader @SmartRandomGuy · May 15 Replying to @McBeaner69 Even thwn he is originally from Kerala which is 30% Muslim and is run by communists not Hindutva so zero chance of any real danger to him or his family 1 1 42,1,1,1
Hindutva danger,/hwmaqbul,2025-05-14T12:18:43.000Z,"Hamzah wald Maqbul @hwmaqbul · May 14 This is why India left unchecked is a danger , but not one that's hard to deal with. 

Notice these videos always show at least a 7-1 Hindutva on Muslim ratio. That's when their courage awakens. 

You never see one of them step up 1 on 1 or even 3 on 1. https:// x.com/randomsena/sta /randomsena/status/1922302068389261668 … This post is unavailable. 3 7 32 1.3K",3,3,3
Hindutva danger,/SaraKhanAdv,2025-05-14T11:40:29.000Z,Sara Khan @SaraKhanAdv · May 14 Modi's Hindutva is a danger to regional peace. Pakistan stands firm against both terror and lies. #IndiaSponsorsTerrorism 1 34,1,1,1
Hindutva danger,/SaraKhanAdv,2025-05-14T11:22:40.000Z,Sara Khan @SaraKhanAdv · May 14 Modi's Hindutva is a danger to regional peace. Pakistan stands firm against both terror and lies. #IndiaSponsorsTerrorism 87,87,87,87
Hindutva danger,/KhanAbdullahPK,2025-05-14T11:00:52.000Z,"Abdullah Khan @KhanAbdullahPK · May 14 Shaykh Yusuf al Qaradawi visited India in 1996. Having seen first hand the situation on ground, he immediately returned home & gave Khutba highlighting the plight of Muslims in India and warned the Arab world about the looming danger of Hindutva ideology youtube.com المسلمون في الهند | العلامة الشيخ يوسف القرضاوي تتحدث الخطبة عن أوضاع المسلمين في الهند وكيفية النهوض بها، وذلك إثر زيارة لفضيلة الشيخ لنيودلهي استغرقت أسبوعين، في شهر جمادى الآخرة 1417هـ - أكتوبر 1996م. ت... 6 6 640",6,6,6
Hindutva danger,/knisamrat,2025-05-13T12:31:00.000Z,"jagatram thapliyal @knisamrat · May 13 Replying to @MAkash52885161 @kaushik8059 and @Warlock_Shubh Before 2014, in the raceof Islamization,Hindus were unaware of this. After 2014, some changes , but Hindus have realized danger is.Except Yogiji modiji ,everyone is fulfilling their selfishness through Hindutva ,even if it is BJP. This is the reason that Modi is the country. 1 25",1,1,1
Hindutva danger,/Jawariaabbasi,2025-05-12T17:21:34.000Z,"Jawaria Abbasi @Jawariaabbasi · May 12 Replying to @Jawariaabbasi 7/7
This isn’t just India’s crisis,radicalized nuclear power led by an ideology inspired by Hitler is a danger to South Asia peace.
From Gujarat 2002 to today, the world ignored the warning signs. The time to speak up against #Hindutva fascism is now before more lives are lost. 1 24",1,1,1
Hindutva danger,/shani_hn_yawr,2025-05-12T10:50:28.000Z,"Shayyan Ahmed @shani_hn_yawr · May 12 This tells you the entire story of the Extremist Hindutva mindset. The danger to entire humankind. #IndiaPakistanWar #ceasefire #Hindutva Quote TRT World @trtworld · May 12 Members of the far-right Hindu nationalist Bharatiya Janata Party vandalised a branch of the Indian-owned Karachi Bakery in Hyderabad, demanding the owners change its name 40",40,40,40
Hindutva danger,/Dr_Samibabar,2025-05-12T09:59:05.000Z,"Dr. Sami Babar @Dr_Samibabar · May 12 Replying to @AsianDigest The butcher of Gujrat pose a danger to humanity, and the Hindutva movement's treatment of Muslims in India and Pakistan is brutal 1 58",1,1,1
Hindutva danger,/AlkaJacob1,2025-05-12T07:46:25.000Z,"Roasted and Posted @AlkaJacob1 · May 12 Replying to @RavinderKapur2 He is there where he is only because of RSS. RSS has a worldwide presence. Hindutva is expanding globally ever since it's conception.
Hindus are in danger only in India. Everywhere else they are flourishing under the wings of RSS as Sanatanis. 3 126",3,3,3
Hindutva danger,/M79037645Awan,2025-05-12T06:30:33.000Z,RealWorld @M79037645Awan · May 12 Replying to @trtworld This tells you the entire story of the Hindutva mindset. The danger to entire humankind. 3 97 1.9K,3,3,3
Hindutva danger,/indigenous84,2025-05-12T06:15:37.000Z,ravan @indigenous84 · May 12 Replying to @ElizabethFarah Hope this tweet will reach to American politicians and #MAGA . It is not only American jobs it is American’s sovereignty issue in the long run. Hindutva ideology is danger to humanity. 42,42,42,42
Hindutva danger,/im_asadshahzad,2025-05-12T05:44:20.000Z,Asad Shahzad @im_asadshahzad · May 12 Replying to @kanimozhi and @DrSJaishankar This is happened just because of your hindutva sick mindset who is danger for humanity 2,2,2,2
Hindutva danger,/im_asadshahzad,2025-05-12T05:42:07.000Z,"Asad Shahzad @im_asadshahzad · May 12 Replying to @ashoswai Now you understand the hindutva sick cheap mindset, they are danger for humanity 2",2,2,2
Hindutva danger,/uoiea3uoia,2025-05-12T05:18:42.000Z,"من مستم @uoiea3uoia · May 12 Replying to @sanahashmi1 Keep using your #Hindutva _terrorism or #hindvta supermacist idealogy against minorities, for cheap political gain and don't forget to ask Phlagam evidence, on which basis #Hindutva regime risking 1.5 billion life's in danger ??? 9",9,9,9
Hindutva danger,/uoiea3uoia,2025-05-12T04:08:36.000Z,"من مستم @uoiea3uoia · May 12 Replying to @narendramodi Dear Indian don't forget to ask Phlagam evidence, on which basis #Hindutva regime risking 1.5 billion life's in danger ??? 7",7,7,7
Hindutva danger,/always_inspires,2025-05-12T03:32:29.000Z,"Always Inspire (M Irfan) @always_inspires · May 12 Replying to @ashoswai And one of our (still and will continue to be) favorite sweet shop is Bhashani Sweets.
This is why #India can never be a secular state and #Pakistan is and will always be a paradise for #Hindu people. #Hindutva is a danger to humanity. 4 627",4,4,4
Hindutva danger,/Humaimam34Zoha,2025-05-12T01:25:25.000Z,"humaimam2 @Humaimam34Zoha · May 12 Replying to @SalmanNizami_ India is in danger with such a mindset claiming to be a secular state it is the responsibility of sane Indians to stop this terrorism in the name of hindutva ideology. Believe me, we all pakistanis are really impressed by ur country's progress, but where  are you heading to? 21",21,21,21
Hindutva danger,/anuppradhan0605,2025-05-11T20:48:09.000Z,"समर शेष है @anuppradhan0605 · May 12 But the truth is that only Islamofascism can defeat Feminazis. This will be the end result of feminism alliance with islamist forces all over the world. So stop these non-sense jargons like Brahminical Patriarchy, hindutva misogyny etc. Identify the real danger . Quote Hindu Voice @HinduVoice_in · May 11 #Bangladesh In the #Munsiganj district, Islamists tortured two women for not wearing Islamic dresses like Burqa and Hijab. 

Women were beaten with belts. 
The video went viral on social media. 0:25 29",29,29,29
Hindutva danger,/anuppradhan0605,2025-05-11T20:47:27.000Z,"समर शेष है @anuppradhan0605 · May 12 Replying to @HinduVoice_in But the truth is that only Islamofascism can defeat Feminazis. This will be the end result of feminism alliance with islamist forces all over the world. So stop these non-sense jargons like Brahminical Patriarchy, hindutva misogyny etc. Identify the real danger . 74",74,74,74
Hindutva danger,/pal_maitreyee,2025-05-11T18:46:53.000Z,"Maitreyee Pal @pal_maitreyee · May 12 Replying to @HINDUTVA_R dil se respect krti hu #Modiji ko. Mujhe pura faith h vo indian army aur desh ko danger se save  kiya h. Aj public nhi samajte h ek din samaj jayenge us din mddiji ko respect karenge.
So public k negetive comments ko ignore krke aap raho. Thank u Modiji. Bharatmata ki joy 1 88",1,1,1
Hindutva danger,/SevakMasih,2025-05-11T16:58:39.000Z,"Sevak Masih @SevakMasih · May 11 Replying to @BrethrenIndia and @SheetalPronamo When Hindus were governed by the Constitution (inspired by Christian values of inclusivity, brotherhood and equality), Hindus were safe in India. 

Since Hindutva started ruling the c ountry, Hindus are in danger 1 3 4 43",1,1,1
Hindutva danger,/uoiea3uoia,2025-05-11T16:20:30.000Z,"من مستم @uoiea3uoia · May 11 Replying to @IndiaToday @sardesairajdeep and 2 others Dear Indian don't forget to ask Phlagam evidence, on which basis #Hindutva regime risking 1.5 billion life's in danger ??? 4",4,4,4
Hindutva danger,/masoodaslam11,2025-05-11T15:46:49.000Z,"Masood Aslam @masoodaslam11 · May 11 Replying to @YusufMoeed Bilateral mechanisms work only among equals or near equals. If one party suffers  from megalomaniac disorder it expects others to do as told (like a street bully). Unfortunately, we don’t take it lying down thus need of 3rd party mechanisms. Hindutva crowd is danger for humanity 1 124",1,1,1
Hindutva danger,/anuppradhan0605,2025-05-11T20:48:09.000Z,"समर शेष है @anuppradhan0605 · May 12 But the truth is that only Islamofascism can defeat Feminazis. This will be the end result of feminism alliance with islamist forces all over the world. So stop these non-sense jargons like Brahminical Patriarchy, hindutva misogyny etc. Identify the real danger . Quote Hindu Voice @HinduVoice_in · May 11 #Bangladesh In the #Munsiganj district, Islamists tortured two women for not wearing Islamic dresses like Burqa and Hijab. 

Women were beaten with belts. 
The video went viral on social media. 29",29,29,29
Hindutva danger,/ashemaqbool,2025-05-11T14:16:31.000Z,ashemaqbool @ashemaqbool · May 11 Replying to @Awakeningmedia1 This is war atleast do thia thing in manly manner. These Hindutva ter0r organisation supress the weak and threatening  women not a new thinv for them. World and feminist organistaion should highlight this looming danger towards womanhood. 11,11,11,11
Hindutva danger,/Moazzempmp,2025-05-11T13:38:03.000Z,"Zero-Politics @Moazzempmp · May 11 Replying to @revolt_71 Modi will now understand the danger of nourishing Hindutva ideology for his power so long. The rise of right wing hindu is a threat to Indian democracy. It is time for India now to revise state policy, stop bullying and respect all citizens' right, specially the minorities. 1 1 54",1,1,1
Hindutva danger,/KhanAmyra69967,2025-05-11T10:59:31.000Z,"Support Palestine @KhanAmyra69967 · May 11 Replying to @randomsena This is real face of Indian mentality filled with hate,war and terror. This is the real face. India is filled with filthy hindutva Indian mentality is danger to all other species 14",14,14,14
Hindutva danger,/uoiea3uoia,2025-05-11T10:56:45.000Z,"من مستم @uoiea3uoia · May 11 Dear Indian don't forget to ask Phlagam evidence, on which basis #Hindutva regime risking 1.5 billion life's in danger ??? 35",35,35,35
